"gmt_time","hk_time","subject"
"2019-02-05 23:59:00","2019-02-06 07:59:00","Traders say Canadian shipments of canola oil are being slowed through Chinese ports and customs which is though to be in retaliation to Huawei CFO detainment"
"2019-02-05 23:54:00","2019-02-06 07:54:00","China reportedly agreed to negotiate on items which were previously said to be off-limits, according to WSJ citing a senior administration official"
"2019-02-05 23:35:00","2019-02-06 07:35:00","US Trade Representative Lighthizer and Treasury Secretary Mnuchin will visit Beijing early next week for trade discussions, according to WSJ"
"2019-02-05 23:28:00","2019-02-06 07:28:00","PRE-MARKET JAPANESE STOCK NEWS: Earnings from Kobe Steel, Suzuki and SoftBank Corp "
"2019-02-05 22:55:00","2019-02-06 06:55:00","UK ministers reportedly considering plan that would delay Brexit to May 24th, according to Telegraph"
"2019-02-05 22:48:00","2019-02-06 06:48:00","PRE-MARKET AUSTRALIAN STOCK NEWS: Commonwealth Bank of Australia (CBA AT) H1 net AUD 4.6bln vs. Prev. AUD 4.9bln Y/Y, cash profit AUD 4.7bln vs. Prev. AUD 4.6bln Y/Y, rev. AUD 12.31bln vs. Prev. AUD 12.6bln Y/Y"
"2019-02-05 22:42:00","2019-02-06 06:42:00","UK Brexit ministers reportedly looking at a plan that would keep Ireland border open, according to The Sun"
"2019-02-05 22:10:00","2019-02-06 06:10:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include US President Trump's State of the Union Address, RBA Governor Lowe Speech, Asia-Pac markets will mostly remain closed"
"2019-02-05 22:03:00","2019-02-06 06:03:00","DAILY ASIA-PAC OPENING NEWS"
"2019-02-05 22:00:00","2019-02-06 06:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2019-02-05 21:43:00","2019-02-06 05:43:00","Allstate (ALL) Q4 EPS USD 1.24 vs. Exp. USD 1.01, rev. USD 9.48bln vs. Exp. USD 8.71bln"
"2019-02-05 21:38:00","2019-02-06 05:38:00","Vale declares force majeure in iron ore sale contracts"
"2019-02-05 21:33:00","2019-02-06 05:33:00","US API Weekly Crude Stocks (1 Feb) 2.514mln vs. Exp. +2.2mln (prev. +2.098mln)"
"2019-02-05 21:27:00","2019-02-06 05:27:00","RANsquawk US Market Wrap - 5 Feb 2019: Cautious markets ahead of State of the Union address"
"2019-02-05 21:10:00","2019-02-06 05:10:00","Anadarko Petroleum Corp (APC) Q4 Adj. EPS USD 0.38 vs. Exp. USD 0.60, revenue USD 3.34bln vs. Exp. USD 3.47bln"
"2019-02-05 21:08:00","2019-02-06 05:08:00","Chubb Ltd (CB) Q4 EPS USD 0.76 vs. Exp. USD 1.97"
"2019-02-05 21:05:00","2019-02-06 05:05:00","Digital Realty Trust Inc (DLR) Q4 Core FFO EPS USD 1.68 vs. Exp. EPS USD 0.29, revenue USD 0.778bln vs. Exp. USD 0.79bln"
"2019-02-05 21:05:00","2019-02-06 05:05:00","Walt Disney Co (DIS) Q1 EPS ex-items USD 1.84 vs. Exp. USD 1.55, revenue USD 15.3bln vs. Exp. USD 15.15bln"
"2019-02-05 21:02:00","2019-02-06 05:02:00","Vertex Pharmaceuticals Inc (VRTX) Q4 Adj. EPS USD 1.30 vs. Exp. USD 1.06, revenue USD 0.87bln vs. Exp. USD 0.82bln"
"2019-02-05 21:01:00","2019-02-06 05:01:00","Electronic Arts Inc (EA) Q3 EPS USD 0.86 vs. Exp. USD 1.94, revenue USD 1.29bln vs. Exp. USD 1.75bln"
"2019-02-05 20:30:00","2019-02-06 04:30:00","ENERGY INVENTORY EXPECTATIONS: Crude +2.2mln, Cushing +0.9mln, distillates -1.8mln, gasoline +1.6mln (via Rtrs/Genscape)"
"2019-02-05 20:18:00","2019-02-06 04:18:00","General Motors (GM) declares quarterly dividend of USD 0.38/shr"
"2019-02-05 19:50:00","2019-02-06 03:50:00","US Treasury Secretary Mnuchin says he hopes democrats will back trade efforts with China "
"2019-02-05 19:47:00","2019-02-06 03:47:00","Charles Schwab (SCHW) executive says looking at growing expenses between 6-7% in medium term; they expect FY19 revenue +7-11% yy which could result in pre-tax profit margin of 45% "
"2019-02-05 19:38:00","2019-02-06 03:38:00","President Trump not planning to call national emergency over situation at the border wall, Bloomberg reporter tweets"
