"gmt_time","hk_time","subject"
"2018-09-28 20:30:00","2018-09-29 04:30:00","AUDIO SERVICE HAS NOW CLOSED FOR THE WEEK. THE ASIA DESK WILL REOPEN ON SUNDAY AT 2200GMT, EUROPEAN SERVICE WILL RESUME ON MONDAY AT 0630GMT. HAVE A PLEASANT WEEKEND."
"2018-09-28 20:20:00","2018-09-29 04:20:00","Mexico President Elect AMLO says he will insist NAFTA remains a trilateral deal; adds there is still time to reach a trilateral deal"
"2018-09-28 20:10:00","2018-09-29 04:10:00","Fitch Affirms Luxembourg at 'AAA'; Outlook Stable"
"2018-09-28 20:05:00","2018-09-29 04:05:00","RANsquawk US Market Wrap - 28th September 2018"
"2018-09-28 19:59:00","2018-09-29 03:59:00","US is to close consulate in Iraq city of Basra following violence"
"2018-09-28 19:42:00","2018-09-29 03:42:00","Weekly FX COT Data"
"2018-09-28 18:55:00","2018-09-29 02:55:00","Week in Focus - Week In Focus; week commencing 2 October 2018"
"2018-09-28 18:52:00","2018-09-29 02:52:00","Central Banks Weekly: Reviewing FOMC, RBNZ; Previewing RBA, Banxico, RBI   "
"2018-09-28 18:48:00","2018-09-29 02:48:00"," WTI (X8) SETTLES USD 1.13 HIGHER AT USD 73.25/BBL, BRENT (X8, EXPIRES) SETTLES USD 1.00 HIGHER AT USD 82.72/BBL"
"2018-09-28 18:40:00","2018-09-29 02:40:00","Qualcom (QCOM) has lost its first round in Apple (AAPL) patent fight"
"2018-09-28 18:15:00","2018-09-29 02:15:00","Vague reports on Twitter suggest Trump is considering an SPR release over the weekend - TREAT WITH CAUTION"
"2018-09-28 18:15:00","2018-09-29 02:15:00","Russian Foreign Affairs Minister Lavrov says we will do everything possible to preserve Iran nuclear deal "
"2018-09-28 17:31:00","2018-09-29 01:31:00","Mexican senate is planning to time its NAFTA vote to coincide with the US's vote"
"2018-09-28 17:12:00","2018-09-29 01:12:00","Phillips 66 (PSX) reports unplanned flaring and a breakdown at the LA-Carson, California refinery, capacity: 139,000 bpd"
"2018-09-28 17:04:00","2018-09-29 01:04:00","Tesla (TSLA) CEO Elon Musk is ready to go to trial but could still settle"
"2018-09-28 17:03:00","2018-09-29 01:03:00","Former UK Foreign Secretary Boris Johnson has refused to rule out a leadership challenge to UK PM May, according to the BBC"
"2018-09-28 17:02:00","2018-09-29 01:02:00","Baker Hughes rig count (28 Sep): Oil rigs -3 at 863, gas rigs +3 at 189, total rigs +1 at 1054"
"2018-09-28 16:54:00","2018-09-29 00:54:00","JPMorgan sees tariffs on all Chinese goods would cut US GDP by 0.2% in 2019 and raise core inflation by 0.2%-0.3%"
